epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,13322.4,1.6477,1.16384,1.15128,0.39281,0.33807,0.26263,0.10142,2.43321,2.13001,1.65157,0.0013796,0.0013796,0.0013796
96,13441.6,1.64493,1.1825,1.143,0.42966,0.33523,0.27444,0.1043,2.43602,2.10986,1.71897,0.001373,0.001373,0.001373
97,13560.3,1.63359,1.15048,1.14855,0.43524,0.31439,0.27043,0.10459,2.40917,2.19453,1.69106,0.0013664,0.0013664,0.0013664
98,13678.9,1.64483,1.14038,1.14573,0.42901,0.31061,0.26248,0.09867,2.41058,2.1564,1.67894,0.0013598,0.0013598,0.0013598
99,13798.4,1.60835,1.12736,1.15219,0.41599,0.3177,0.26705,0.10063,2.40192,2.17436,1.70219,0.0013532,0.0013532,0.0013532
100,13917.4,1.5941,1.11361,1.13092,0.45645,0.34433,0.28674,0.11115,2.38776,2.12462,1.69749,0.0013466,0.0013466,0.0013466
101,14037.3,1.58002,1.1555,1.14057,0.44009,0.31061,0.26614,0.10194,2.39959,2.22159,1.64441,0.00134,0.00134,0.00134
102,14157.5,1.58431,1.12985,1.13453,0.4538,0.31913,0.26685,0.09909,2.40202,2.16753,1.63159,0.0013334,0.0013334,0.0013334
103,14277.5,1.57199,1.08903,1.14859,0.4219,0.31913,0.26101,0.09713,2.4093,2.14725,1.67889,0.0013268,0.0013268,0.0013268
104,14397.4,1.57836,1.10845,1.13709,0.39043,0.2983,0.23949,0.09081,2.41451,2.37999,1.63661,0.0013202,0.0013202,0.0013202
105,14517.5,1.5747,1.08786,1.12287,0.4216,0.29888,0.24582,0.08713,2.47745,2.37144,1.66843,0.0013136,0.0013136,0.0013136
106,14636.9,1.56969,1.08002,1.13815,0.4372,0.31706,0.26729,0.09929,2.41009,2.12798,1.68598,0.001307,0.001307,0.001307
107,14756.8,1.51222,1.0648,1.09569,0.43737,0.32197,0.27057,0.10433,2.38391,2.17107,1.62756,0.0013004,0.0013004,0.0013004
108,14876.7,1.55672,1.09752,1.11379,0.46322,0.33428,0.27753,0.1049,2.42824,2.10862,1.71108,0.0012938,0.0012938,0.0012938
109,14996.6,1.55781,1.06984,1.09636,0.41844,0.30303,0.24533,0.0917,2.43105,2.2299,1.67233,0.0012872,0.0012872,0.0012872
110,15116.4,1.56341,1.09347,1.12203,0.43899,0.32197,0.2677,0.10388,2.43772,2.28656,1.65566,0.0012806,0.0012806,0.0012806
111,15236.5,1.56775,1.0931,1.12402,0.49386,0.32481,0.28936,0.10519,2.43759,2.1591,1.67062,0.001274,0.001274,0.001274
112,15355.7,1.57743,1.07734,1.12795,0.4711,0.32481,0.28218,0.10621,2.43423,2.17836,1.63417,0.0012674,0.0012674,0.0012674
113,15475.6,1.52133,1.02892,1.1017,0.42435,0.29924,0.252,0.09415,2.4459,2.2829,1.68025,0.0012608,0.0012608,0.0012608
114,15594.8,1.55305,1.04618,1.11316,0.43569,0.33428,0.27765,0.10429,2.40901,2.11837,1.68575,0.0012542,0.0012542,0.0012542
115,15714.6,1.56729,1.0537,1.10977,0.40717,0.35227,0.28296,0.11122,2.44586,2.10509,1.7397,0.0012476,0.0012476,0.0012476
116,15834.1,1.55093,1.05933,1.12184,0.45627,0.3115,0.26925,0.10386,2.43486,2.18922,1.64147,0.001241,0.001241,0.001241
117,15954.3,1.52442,1.0335,1.10956,0.44427,0.29261,0.24863,0.09474,2.49914,2.29838,1.7024,0.0012344,0.0012344,0.0012344
118,16074.4,1.51259,1.04183,1.10101,0.44274,0.31913,0.27024,0.10208,2.42801,2.1976,1.67183,0.0012278,0.0012278,0.0012278
119,16193.7,1.55266,1.04235,1.12474,0.44778,0.33617,0.27789,0.10334,2.45913,2.18577,1.69563,0.0012212,0.0012212,0.0012212
120,16313.5,1.49804,1.01214,1.10914,0.43932,0.34186,0.28221,0.10571,2.4567,2.06118,1.68963,0.0012146,0.0012146,0.0012146
121,16433.4,1.5018,1.03317,1.09319,0.45323,0.30064,0.26129,0.09775,2.46719,2.1281,1.67203,0.001208,0.001208,0.001208
122,16553.4,1.51756,1.04424,1.10817,0.46974,0.31123,0.27115,0.1063,2.38687,2.16963,1.63833,0.0012014,0.0012014,0.0012014
123,16673.6,1.49287,1.02095,1.08841,0.41497,0.32765,0.26696,0.10573,2.43197,2.25676,1.63458,0.0011948,0.0011948,0.0011948
124,16793.1,1.4637,0.99716,1.08229,0.4639,0.30871,0.27108,0.10516,2.41351,2.129,1.65343,0.0011882,0.0011882,0.0011882
125,16913.1,1.51449,1.03687,1.08814,0.42924,0.32292,0.26663,0.09736,2.46387,2.24712,1.68747,0.0011816,0.0011816,0.0011816
126,17032.6,1.44568,0.99003,1.08133,0.43942,0.33239,0.28473,0.1103,2.40479,2.18239,1.69864,0.001175,0.001175,0.001175
127,17152.4,1.43038,0.96798,1.07494,0.44126,0.29167,0.25845,0.09928,2.44927,2.32731,1.71188,0.0011684,0.0011684,0.0011684
128,17272.3,1.44535,0.96819,1.06979,0.43593,0.30445,0.25812,0.09831,2.42596,2.24272,1.66904,0.0011618,0.0011618,0.0011618
129,17392.8,1.43061,0.96013,1.0683,0.44215,0.34752,0.27795,0.10726,2.38387,2.11184,1.63549,0.0011552,0.0011552,0.0011552
130,17512.1,1.46999,0.98408,1.08037,0.44895,0.32008,0.26415,0.10152,2.40602,2.23629,1.63886,0.0011486,0.0011486,0.0011486
131,17631.3,1.44855,0.99787,1.08552,0.47686,0.3237,0.27982,0.10833,2.38778,2.13956,1.63945,0.001142,0.001142,0.001142
132,17751,1.48982,0.98352,1.08777,0.47433,0.32765,0.28152,0.10466,2.39184,2.14188,1.63616,0.0011354,0.0011354,0.0011354
133,17870.6,1.40792,0.94557,1.06612,0.43718,0.32481,0.27697,0.10601,2.39871,2.25516,1.6594,0.0011288,0.0011288,0.0011288
134,17990.4,1.44449,0.96908,1.07312,0.41444,0.34943,0.28624,0.10961,2.3879,2.07631,1.64938,0.0011222,0.0011222,0.0011222
135,18110.4,1.45694,0.97418,1.06214,0.4323,0.31152,0.26788,0.1015,2.43833,2.20864,1.66764,0.0011156,0.0011156,0.0011156
136,18229.2,1.43882,0.94671,1.07184,0.4268,0.34186,0.27196,0.10495,2.42188,2.14277,1.69779,0.001109,0.001109,0.001109
137,18349.3,1.43912,0.97695,1.07609,0.47329,0.30804,0.27833,0.10696,2.45395,2.2645,1.74447,0.0011024,0.0011024,0.0011024
138,18469,1.39055,0.93413,1.0589,0.43401,0.34754,0.28679,0.11048,2.3883,2.1344,1.67823,0.0010958,0.0010958,0.0010958
